id,ubicacion,cifra,contexto,fuente_archivo,metodo_calculo,fecha_corte,estado,notas
E16-016,pagina-estado Michoacán de Ocampo · ranking nacional,#6 de 32,Ranking nacional homicidio doloso 2025 · Michoacán de Ocampo,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/delitos_estatales_2015-2025/Estatal-Delitos-2015-2025_abr2026.csv,panorama_estatal_32.csv columna [sesnsp_2025_hd].rank(ascending=False) → posición de clave_ent=16,2025-12 (corte abr-2026),VERIFICADO_AGREGADO,1 = mayor incidencia · 32 = menor
E16-017,pagina-estado Michoacán de Ocampo · ranking nacional,#8 de 32,Ranking nacional extorsión 2025 · Michoacán de Ocampo,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/delitos_estatales_2015-2025/Estatal-Delitos-2015-2025_abr2026.csv,panorama_estatal_32.csv columna [sesnsp_2025_extorsion].rank(ascending=False) → posición de clave_ent=16,2025-12 (corte abr-2026),VERIFICADO_AGREGADO,1 = mayor incidencia · 32 = menor
E16-018,pagina-estado Michoacán de Ocampo · ranking nacional,#13 de 32,Ranking nacional feminicidio 2025 · Michoacán de Ocampo,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/delitos_estatales_2015-2025/Estatal-Delitos-2015-2025_abr2026.csv,panorama_estatal_32.csv columna [sesnsp_2025_feminicidio].rank(ascending=False) → posición de clave_ent=16,2025-12 (corte abr-2026),VERIFICADO_AGREGADO,1 = mayor incidencia · 32 = menor
E16-019,pagina-estado Michoacán de Ocampo · ranking nacional,#28 de 32,Ranking nacional violencia familiar 2025 · Michoacán de Ocampo,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/delitos_estatales_2015-2025/Estatal-Delitos-2015-2025_abr2026.csv,panorama_estatal_32.csv columna [sesnsp_2025_violencia_familiar].rank(ascending=False) → posición de clave_ent=16,2025-12 (corte abr-2026),VERIFICADO_AGREGADO,1 = mayor incidencia · 32 = menor
E16-020,pagina-estado Michoacán de Ocampo · panel RNPDNO,"7,512",RNPDNO desaparecidos activos · Michoacán de Ocampo · al 3-jun-2026,BASES_NACIONALES/panorama_estatal_32.csv + EXCEL - SEGURIDAD MORELOS/NUEVOS REPORTES DESAPARICIONES/activos_por_entidad.csv,panorama_estatal_32.csv columna [rnpdno_desaparecidos] fila clave_ent=16. Mapeo nombre INEGI → alias RNPDNO. Fuente primaria: dashboard oficial post-reforma RNPDNO.,2026-06-03,VERIFICADO_AGREGADO,
E16-021,pagina-estado Michoacán de Ocampo · panel RNPDNO,336,RNPDNO no localizados · Michoacán de Ocampo · al 3-jun-2026,BASES_NACIONALES/panorama_estatal_32.csv + EXCEL - SEGURIDAD MORELOS/NUEVOS REPORTES DESAPARICIONES/activos_por_entidad.csv,panorama_estatal_32.csv columna [rnpdno_no_localizados] fila clave_ent=16. Mapeo nombre INEGI → alias RNPDNO. Fuente primaria: dashboard oficial post-reforma RNPDNO.,2026-06-03,VERIFICADO_AGREGADO,
E16-022,pagina-estado Michoacán de Ocampo · panel RNPDNO,"5,218",RNPDNO localizados con vida · Michoacán de Ocampo · al 3-jun-2026,BASES_NACIONALES/panorama_estatal_32.csv + EXCEL - SEGURIDAD MORELOS/NUEVOS REPORTES DESAPARICIONES/activos_por_entidad.csv,panorama_estatal_32.csv columna [rnpdno_loc_con_vida] fila clave_ent=16. Mapeo nombre INEGI → alias RNPDNO. Fuente primaria: dashboard oficial post-reforma RNPDNO.,2026-06-03,VERIFICADO_AGREGADO,
E16-023,pagina-estado Michoacán de Ocampo · panel RNPDNO,727,RNPDNO localizados sin vida · Michoacán de Ocampo · al 3-jun-2026,BASES_NACIONALES/panorama_estatal_32.csv + EXCEL - SEGURIDAD MORELOS/NUEVOS REPORTES DESAPARICIONES/activos_por_entidad.csv,panorama_estatal_32.csv columna [rnpdno_loc_sin_vida] fila clave_ent=16. Mapeo nombre INEGI → alias RNPDNO. Fuente primaria: dashboard oficial post-reforma RNPDNO.,2026-06-03,VERIFICADO_AGREGADO,
E16-024,pagina-estado Michoacán de Ocampo · panel RNPDNO,"7,848",RNPDNO activos totales (desap + no loc) · Michoacán de Ocampo · al 3-jun-2026,BASES_NACIONALES/panorama_estatal_32.csv + EXCEL - SEGURIDAD MORELOS/NUEVOS REPORTES DESAPARICIONES/activos_por_entidad.csv,panorama_estatal_32.csv columna [rnpdno_activos_total] fila clave_ent=16. Mapeo nombre INEGI → alias RNPDNO. Fuente primaria: dashboard oficial post-reforma RNPDNO.,2026-06-03,VERIFICADO_AGREGADO,5.86% del nacional
E16-025,pagina-estado Michoacán de Ocampo · ranking nacional RNPDNO,#4 de 32,Ranking nacional desaparecidos activos · Michoacán de Ocampo,BASES_NACIONALES/panorama_estatal_32.csv + EXCEL - SEGURIDAD MORELOS/NUEVOS REPORTES DESAPARICIONES/activos_por_entidad.csv,panorama_estatal_32.csv columna [rnpdno_activos_total].rank(ascending=False) → posición clave_ent=16,2026-06-03,VERIFICADO_AGREGADO,1 = mayor número de activos · 32 = menor
E16-026,pagina-estado Michoacán de Ocampo · KPI 2026 parcial,"17,761",Carpetas SESNSP 2026 parcial (ene-abr) · Michoacán de Ocampo,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/delitos_estatales_RNID_2026/RNID-Delitos_Estatal-2026-abr2026.csv,panorama_estatal_32.csv columna [sesnsp_2026_parcial_total] fila clave_ent=16. RNID estatal 2026 corte abr-2026 · sum(Enero..Abril) por Clave_Ent · CON desglose por subtipo,2026-04 (corte abr-2026),VERIFICADO_AGREGADO,"2.72% del nacional T1 (652,342). Ritmo anualizado ×3 = 53,283 → +11.2% vs total 2025. Con desglose completo por subtipo (RNID estatal)."
E16-027,pagina-estado Michoacán de Ocampo · denominador tasas,"5,045,030",Población a mitad de año 2025 · Michoacán de Ocampo,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/poblacion_estatal_conapo.csv (CONAPO pry23 · conapo.segob.gob.mx),"CONAPO pry23 00_Pob_Mitad_1950_2070.csv · sum(POBLACION) WHERE ANIO=2025 AND CVE_GEO=16 (todas edades y sexos). Validado: suma 32 entidades == nacional CVE_GEO=0 (133,367,428 · diff 0)",2025 (proyección pry23),VERIFICADO_AGREGADO,Denominador oficial para todas las tasas /100K del estado
E16-028,pagina-estado Michoacán de Ocampo · KPI tasa,21.25,tasa homicidio doloso por 100K hab 2025 · Michoacán de Ocampo,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/poblacion_estatal_conapo.csv (CONAPO pry23 · conapo.segob.gob.mx),"panorama [sesnsp_2025_hd] (1,072) / poblacion_2025 (5,045,030) × 100,000 = 21.25",2024,VERIFICADO_AGREGADO,Ranking nacional por tasa: #10 de 32 (1 = mayor tasa)
E16-029,pagina-estado Michoacán de Ocampo · KPI tasa,0.476,"tasa feminicidio por 100K hab 2025 (poblacion total, declarado) · Michoacán de Ocampo",BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/poblacion_estatal_conapo.csv (CONAPO pry23 · conapo.segob.gob.mx),"panorama [sesnsp_2025_feminicidio] (24) / poblacion_2025 (5,045,030) × 100,000 = 0.476",2024,VERIFICADO_AGREGADO,Ranking nacional por tasa: #18 de 32 (1 = mayor tasa)
E16-030,pagina-estado Michoacán de Ocampo · KPI tasa,950.2,tasa total carpetas por 100K hab 2025 · Michoacán de Ocampo,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/poblacion_estatal_conapo.csv (CONAPO pry23 · conapo.segob.gob.mx),"panorama [sesnsp_2025_total] (47,937) / poblacion_2025 (5,045,030) × 100,000 = 950.2",2024,VERIFICADO_AGREGADO,Ranking nacional por tasa: #24 de 32 (1 = mayor tasa)
E16-031,pagina-estado Michoacán de Ocampo · KPI tasa,155.6,tasa desaparecidos activos por 100K hab · Michoacán de Ocampo,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/poblacion_estatal_conapo.csv (CONAPO pry23 · conapo.segob.gob.mx),"panorama [rnpdno_activos_total] (7,848) / poblacion_2025 (5,045,030) × 100,000 = 155.6",2024,VERIFICADO_AGREGADO,Ranking nacional por tasa: #7 de 32 (1 = mayor tasa)
E16-032,pagina-estado Michoacán de Ocampo · KPI tasa,0.833,tasa secuestro por 100K hab 2025 · Michoacán de Ocampo,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/poblacion_estatal_conapo.csv (CONAPO pry23 · conapo.segob.gob.mx),"panorama [sesnsp_2025_secuestro] (42) / poblacion_2025 (5,045,030) × 100,000 = 0.833",2024,VERIFICADO_AGREGADO,Ranking nacional por tasa: #5 de 32 (1 = mayor tasa)
E16-033,pagina-estado Michoacán de Ocampo · KPI tasa,34.1,tasa violencia familiar por 100K hab 2025 · Michoacán de Ocampo,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/poblacion_estatal_conapo.csv (CONAPO pry23 · conapo.segob.gob.mx),"panorama [sesnsp_2025_violencia_familiar] (1,720) / poblacion_2025 (5,045,030) × 100,000 = 34.1",2024,VERIFICADO_AGREGADO,Ranking nacional por tasa: #29 de 32 (1 = mayor tasa)
E16-034,pagina-estado Michoacán de Ocampo · KPI tasa,11.02,tasa violacion (simple+equiparada) por 100K hab 2025 · Michoacán de Ocampo,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/poblacion_estatal_conapo.csv (CONAPO pry23 · conapo.segob.gob.mx),"panorama [sesnsp_2025_violacion] (556) / poblacion_2025 (5,045,030) × 100,000 = 11.02",2024,VERIFICADO_AGREGADO,Ranking nacional por tasa: #23 de 32 (1 = mayor tasa)
E17-001,pagina-estado Morelos · KPI,"45,451",total carpetas SESNSP 2025 · Morelos,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/delitos_estatales_2015-2025/Estatal-Delitos-2015-2025_abr2026.csv,"panorama_estatal_32.csv columna [sesnsp_2025_total] fila clave_ent=17. Derivado de groupby(Clave_Ent, Subtipo)['_total'].sum() sobre base estatal 2015-2025 · filtros exactos: ver script _construir_panorama_v3.py",2025-12 (corte abr-2026),VERIFICADO_AGREGADO,"2.25% del nacional (2,016,723 en 32 estados). Aparece en KPI de la página-estado."
E17-002,pagina-estado Morelos · KPI,997,homicidio doloso 2025 · Morelos,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/delitos_estatales_2015-2025/Estatal-Delitos-2015-2025_abr2026.csv,"panorama_estatal_32.csv columna [sesnsp_2025_hd] fila clave_ent=17. Derivado de groupby(Clave_Ent, Subtipo)['_total'].sum() sobre base estatal 2015-2025 · filtros exactos: ver script _construir_panorama_v3.py",2025-12 (corte abr-2026),VERIFICADO_AGREGADO,"4.99% del nacional (19,987 en 32 estados). Aparece en KPI de la página-estado."
E17-003,pagina-estado Morelos · tabla,388,homicidio culposo 2025 · Morelos,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/delitos_estatales_2015-2025/Estatal-Delitos-2015-2025_abr2026.csv,"panorama_estatal_32.csv columna [sesnsp_2025_hc] fila clave_ent=17. Derivado de groupby(Clave_Ent, Subtipo)['_total'].sum() sobre base estatal 2015-2025 · filtros exactos: ver script _construir_panorama_v3.py",2025-12 (corte abr-2026),VERIFICADO_AGREGADO,"2.29% del nacional (16,945 en 32 estados). Aparece en tabla de la página-estado."
E17-004,pagina-estado Morelos · KPI,35,feminicidio 2025 · Morelos,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/delitos_estatales_2015-2025/Estatal-Delitos-2015-2025_abr2026.csv,"panorama_estatal_32.csv columna [sesnsp_2025_feminicidio] fila clave_ent=17. Derivado de groupby(Clave_Ent, Subtipo)['_total'].sum() sobre base estatal 2015-2025 · filtros exactos: ver script _construir_panorama_v3.py",2025-12 (corte abr-2026),VERIFICADO_AGREGADO,4.92% del nacional (711 en 32 estados). Aparece en KPI de la página-estado.
E17-005,pagina-estado Morelos · KPI,419,extorsión 2025 · Morelos,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/delitos_estatales_2015-2025/Estatal-Delitos-2015-2025_abr2026.csv,"panorama_estatal_32.csv columna [sesnsp_2025_extorsion] fila clave_ent=17. Derivado de groupby(Clave_Ent, Subtipo)['_total'].sum() sobre base estatal 2015-2025 · filtros exactos: ver script _construir_panorama_v3.py",2025-12 (corte abr-2026),VERIFICADO_AGREGADO,"3.99% del nacional (10,507 en 32 estados). Aparece en KPI de la página-estado."
E17-006,pagina-estado Morelos · tabla,20,secuestro 2025 · Morelos,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/delitos_estatales_2015-2025/Estatal-Delitos-2015-2025_abr2026.csv,"panorama_estatal_32.csv columna [sesnsp_2025_secuestro] fila clave_ent=17. Derivado de groupby(Clave_Ent, Subtipo)['_total'].sum() sobre base estatal 2015-2025 · filtros exactos: ver script _construir_panorama_v3.py",2025-12 (corte abr-2026),VERIFICADO_AGREGADO,4.31% del nacional (464 en 32 estados). Aparece en tabla de la página-estado.
E17-007,pagina-estado Morelos · tabla,"1,058",narcomenudeo 2025 · Morelos,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/delitos_estatales_2015-2025/Estatal-Delitos-2015-2025_abr2026.csv,"panorama_estatal_32.csv columna [sesnsp_2025_narcomenudeo] fila clave_ent=17. Derivado de groupby(Clave_Ent, Subtipo)['_total'].sum() sobre base estatal 2015-2025 · filtros exactos: ver script _construir_panorama_v3.py",2025-12 (corte abr-2026),VERIFICADO_AGREGADO,"1.02% del nacional (104,207 en 32 estados). Aparece en tabla de la página-estado."
E17-008,pagina-estado Morelos · KPI,"5,807",violencia familiar 2025 · Morelos,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/delitos_estatales_2015-2025/Estatal-Delitos-2015-2025_abr2026.csv,"panorama_estatal_32.csv columna [sesnsp_2025_violencia_familiar] fila clave_ent=17. Derivado de groupby(Clave_Ent, Subtipo)['_total'].sum() sobre base estatal 2015-2025 · filtros exactos: ver script _construir_panorama_v3.py",2025-12 (corte abr-2026),VERIFICADO_AGREGADO,"2.18% del nacional (266,760 en 32 estados). Aparece en KPI de la página-estado."
E17-009,pagina-estado Morelos · tabla,"13,515",robo (amplio · incluye allanamiento) 2025 · Morelos,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/delitos_estatales_2015-2025/Estatal-Delitos-2015-2025_abr2026.csv,"panorama_estatal_32.csv columna [sesnsp_2025_robo_amplio] fila clave_ent=17. Derivado de groupby(Clave_Ent, Subtipo)['_total'].sum() sobre base estatal 2015-2025 · filtros exactos: ver script _construir_panorama_v3.py",2025-12 (corte abr-2026),VERIFICADO_AGREGADO,"2.85% del nacional (474,378 en 32 estados). Aparece en tabla de la página-estado."
E17-010,pagina-estado Morelos · tabla,877,lesiones dolosas 2025 · Morelos,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/delitos_estatales_2015-2025/Estatal-Delitos-2015-2025_abr2026.csv,"panorama_estatal_32.csv columna [sesnsp_2025_lesiones_dolosas] fila clave_ent=17. Derivado de groupby(Clave_Ent, Subtipo)['_total'].sum() sobre base estatal 2015-2025 · filtros exactos: ver script _construir_panorama_v3.py",2025-12 (corte abr-2026),VERIFICADO_AGREGADO,"0.56% del nacional (156,623 en 32 estados). Aparece en tabla de la página-estado."
E17-011,pagina-estado Morelos · tabla,598,abuso sexual 2025 · Morelos,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/delitos_estatales_2015-2025/Estatal-Delitos-2015-2025_abr2026.csv,"panorama_estatal_32.csv columna [sesnsp_2025_abuso_sexual] fila clave_ent=17. Derivado de groupby(Clave_Ent, Subtipo)['_total'].sum() sobre base estatal 2015-2025 · filtros exactos: ver script _construir_panorama_v3.py",2025-12 (corte abr-2026),VERIFICADO_AGREGADO,"1.81% del nacional (33,050 en 32 estados). Aparece en tabla de la página-estado."
E17-012,pagina-estado Morelos · tabla,469,violación 2025 · Morelos,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/delitos_estatales_2015-2025/Estatal-Delitos-2015-2025_abr2026.csv,"panorama_estatal_32.csv columna [sesnsp_2025_violacion] fila clave_ent=17. Derivado de groupby(Clave_Ent, Subtipo)['_total'].sum() sobre base estatal 2015-2025 · filtros exactos: ver script _construir_panorama_v3.py",2025-12 (corte abr-2026),VERIFICADO_AGREGADO,"2.31% del nacional (20,280 en 32 estados). Aparece en tabla de la página-estado."
E17-013,pagina-estado Morelos · tabla,"5,303",amenazas 2025 · Morelos,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/delitos_estatales_2015-2025/Estatal-Delitos-2015-2025_abr2026.csv,"panorama_estatal_32.csv columna [sesnsp_2025_amenazas] fila clave_ent=17. Derivado de groupby(Clave_Ent, Subtipo)['_total'].sum() sobre base estatal 2015-2025 · filtros exactos: ver script _construir_panorama_v3.py",2025-12 (corte abr-2026),VERIFICADO_AGREGADO,"3.82% del nacional (138,874 en 32 estados). Aparece en tabla de la página-estado."
E17-014,pagina-estado Morelos · gráfico serie HD,480/586/575/693/911/802/1035/1041/1302/1323/997,Serie homicidio doloso 2015-2025 · Morelos,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/delitos_estatales_2015-2025/Estatal-Delitos-2015-2025_abr2026.csv,panorama_estatal_32.csv columnas serie_hd_2015..serie_hd_2025 fila clave_ent=17. base estatal única corte abr-2026 (11 años).,2025-12 (corte abr-2026),VERIFICADO_AGREGADO,Min: 480 · Max: 1323 · Var %: -24.6% del pico
E17-015,pagina-estado Morelos · ranking nacional,#17 de 32,Ranking nacional total carpetas 2025 · Morelos,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/delitos_estatales_2015-2025/Estatal-Delitos-2015-2025_abr2026.csv,panorama_estatal_32.csv columna [sesnsp_2025_total].rank(ascending=False) → posición de clave_ent=17,2025-12 (corte abr-2026),VERIFICADO_AGREGADO,1 = mayor incidencia · 32 = menor
E17-016,pagina-estado Morelos · ranking nacional,#9 de 32,Ranking nacional homicidio doloso 2025 · Morelos,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/delitos_estatales_2015-2025/Estatal-Delitos-2015-2025_abr2026.csv,panorama_estatal_32.csv columna [sesnsp_2025_hd].rank(ascending=False) → posición de clave_ent=17,2025-12 (corte abr-2026),VERIFICADO_AGREGADO,1 = mayor incidencia · 32 = menor
E17-017,pagina-estado Morelos · ranking nacional,#7 de 32,Ranking nacional extorsión 2025 · Morelos,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/delitos_estatales_2015-2025/Estatal-Delitos-2015-2025_abr2026.csv,panorama_estatal_32.csv columna [sesnsp_2025_extorsion].rank(ascending=False) → posición de clave_ent=17,2025-12 (corte abr-2026),VERIFICADO_AGREGADO,1 = mayor incidencia · 32 = menor
E17-018,pagina-estado Morelos · ranking nacional,#7 de 32,Ranking nacional feminicidio 2025 · Morelos,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/delitos_estatales_2015-2025/Estatal-Delitos-2015-2025_abr2026.csv,panorama_estatal_32.csv columna [sesnsp_2025_feminicidio].rank(ascending=False) → posición de clave_ent=17,2025-12 (corte abr-2026),VERIFICADO_AGREGADO,1 = mayor incidencia · 32 = menor
E17-019,pagina-estado Morelos · ranking nacional,#17 de 32,Ranking nacional violencia familiar 2025 · Morelos,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/delitos_estatales_2015-2025/Estatal-Delitos-2015-2025_abr2026.csv,panorama_estatal_32.csv columna [sesnsp_2025_violencia_familiar].rank(ascending=False) → posición de clave_ent=17,2025-12 (corte abr-2026),VERIFICADO_AGREGADO,1 = mayor incidencia · 32 = menor
E17-020,pagina-estado Morelos · panel RNPDNO,"1,810",RNPDNO desaparecidos activos · Morelos · al 3-jun-2026,BASES_NACIONALES/panorama_estatal_32.csv + EXCEL - SEGURIDAD MORELOS/NUEVOS REPORTES DESAPARICIONES/activos_por_entidad.csv,panorama_estatal_32.csv columna [rnpdno_desaparecidos] fila clave_ent=17. Mapeo nombre INEGI → alias RNPDNO. Fuente primaria: dashboard oficial post-reforma RNPDNO.,2026-06-03,VERIFICADO_AGREGADO,
E17-021,pagina-estado Morelos · panel RNPDNO,306,RNPDNO no localizados · Morelos · al 3-jun-2026,BASES_NACIONALES/panorama_estatal_32.csv + EXCEL - SEGURIDAD MORELOS/NUEVOS REPORTES DESAPARICIONES/activos_por_entidad.csv,panorama_estatal_32.csv columna [rnpdno_no_localizados] fila clave_ent=17. Mapeo nombre INEGI → alias RNPDNO. Fuente primaria: dashboard oficial post-reforma RNPDNO.,2026-06-03,VERIFICADO_AGREGADO,
E17-022,pagina-estado Morelos · panel RNPDNO,"5,070",RNPDNO localizados con vida · Morelos · al 3-jun-2026,BASES_NACIONALES/panorama_estatal_32.csv + EXCEL - SEGURIDAD MORELOS/NUEVOS REPORTES DESAPARICIONES/activos_por_entidad.csv,panorama_estatal_32.csv columna [rnpdno_loc_con_vida] fila clave_ent=17. Mapeo nombre INEGI → alias RNPDNO. Fuente primaria: dashboard oficial post-reforma RNPDNO.,2026-06-03,VERIFICADO_AGREGADO,
E17-023,pagina-estado Morelos · panel RNPDNO,516,RNPDNO localizados sin vida · Morelos · al 3-jun-2026,BASES_NACIONALES/panorama_estatal_32.csv + EXCEL - SEGURIDAD MORELOS/NUEVOS REPORTES DESAPARICIONES/activos_por_entidad.csv,panorama_estatal_32.csv columna [rnpdno_loc_sin_vida] fila clave_ent=17. Mapeo nombre INEGI → alias RNPDNO. Fuente primaria: dashboard oficial post-reforma RNPDNO.,2026-06-03,VERIFICADO_AGREGADO,
E17-024,pagina-estado Morelos · panel RNPDNO,"2,116",RNPDNO activos totales (desap + no loc) · Morelos · al 3-jun-2026,BASES_NACIONALES/panorama_estatal_32.csv + EXCEL - SEGURIDAD MORELOS/NUEVOS REPORTES DESAPARICIONES/activos_por_entidad.csv,panorama_estatal_32.csv columna [rnpdno_activos_total] fila clave_ent=17. Mapeo nombre INEGI → alias RNPDNO. Fuente primaria: dashboard oficial post-reforma RNPDNO.,2026-06-03,VERIFICADO_AGREGADO,1.58% del nacional
E17-025,pagina-estado Morelos · ranking nacional RNPDNO,#19 de 32,Ranking nacional desaparecidos activos · Morelos,BASES_NACIONALES/panorama_estatal_32.csv + EXCEL - SEGURIDAD MORELOS/NUEVOS REPORTES DESAPARICIONES/activos_por_entidad.csv,panorama_estatal_32.csv columna [rnpdno_activos_total].rank(ascending=False) → posición clave_ent=17,2026-06-03,VERIFICADO_AGREGADO,1 = mayor número de activos · 32 = menor
E17-026,pagina-estado Morelos · KPI 2026 parcial,"15,794",Carpetas SESNSP 2026 parcial (ene-abr) · Morelos,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/delitos_estatales_RNID_2026/RNID-Delitos_Estatal-2026-abr2026.csv,panorama_estatal_32.csv columna [sesnsp_2026_parcial_total] fila clave_ent=17. RNID estatal 2026 corte abr-2026 · sum(Enero..Abril) por Clave_Ent · CON desglose por subtipo,2026-04 (corte abr-2026),VERIFICADO_AGREGADO,"2.42% del nacional T1 (652,342). Ritmo anualizado ×3 = 47,382 → +4.2% vs total 2025. Con desglose completo por subtipo (RNID estatal)."
E17-027,pagina-estado Morelos · denominador tasas,"2,056,103",Población a mitad de año 2025 · Morelos,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/poblacion_estatal_conapo.csv (CONAPO pry23 · conapo.segob.gob.mx),"CONAPO pry23 00_Pob_Mitad_1950_2070.csv · sum(POBLACION) WHERE ANIO=2025 AND CVE_GEO=17 (todas edades y sexos). Validado: suma 32 entidades == nacional CVE_GEO=0 (133,367,428 · diff 0)",2025 (proyección pry23),VERIFICADO_AGREGADO,Denominador oficial para todas las tasas /100K del estado
E17-028,pagina-estado Morelos · KPI tasa,48.49,tasa homicidio doloso por 100K hab 2025 · Morelos,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/poblacion_estatal_conapo.csv (CONAPO pry23 · conapo.segob.gob.mx),"panorama [sesnsp_2025_hd] (997) / poblacion_2025 (2,056,103) × 100,000 = 48.49",2024,VERIFICADO_AGREGADO,Ranking nacional por tasa: #2 de 32 (1 = mayor tasa)
E17-029,pagina-estado Morelos · KPI tasa,1.702,"tasa feminicidio por 100K hab 2025 (poblacion total, declarado) · Morelos",BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/poblacion_estatal_conapo.csv (CONAPO pry23 · conapo.segob.gob.mx),"panorama [sesnsp_2025_feminicidio] (35) / poblacion_2025 (2,056,103) × 100,000 = 1.702",2024,VERIFICADO_AGREGADO,Ranking nacional por tasa: #2 de 32 (1 = mayor tasa)
E17-030,pagina-estado Morelos · KPI tasa,2210.5,tasa total carpetas por 100K hab 2025 · Morelos,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/poblacion_estatal_conapo.csv (CONAPO pry23 · conapo.segob.gob.mx),"panorama [sesnsp_2025_total] (45,451) / poblacion_2025 (2,056,103) × 100,000 = 2210.5",2024,VERIFICADO_AGREGADO,Ranking nacional por tasa: #8 de 32 (1 = mayor tasa)
E17-031,pagina-estado Morelos · KPI tasa,102.9,tasa desaparecidos activos por 100K hab · Morelos,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/poblacion_estatal_conapo.csv (CONAPO pry23 · conapo.segob.gob.mx),"panorama [rnpdno_activos_total] (2,116) / poblacion_2025 (2,056,103) × 100,000 = 102.9",2024,VERIFICADO_AGREGADO,Ranking nacional por tasa: #15 de 32 (1 = mayor tasa)
E17-032,pagina-estado Morelos · KPI tasa,0.973,tasa secuestro por 100K hab 2025 · Morelos,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/poblacion_estatal_conapo.csv (CONAPO pry23 · conapo.segob.gob.mx),"panorama [sesnsp_2025_secuestro] (20) / poblacion_2025 (2,056,103) × 100,000 = 0.973",2024,VERIFICADO_AGREGADO,Ranking nacional por tasa: #4 de 32 (1 = mayor tasa)
E17-033,pagina-estado Morelos · KPI tasa,282.4,tasa violencia familiar por 100K hab 2025 · Morelos,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/poblacion_estatal_conapo.csv (CONAPO pry23 · conapo.segob.gob.mx),"panorama [sesnsp_2025_violencia_familiar] (5,807) / poblacion_2025 (2,056,103) × 100,000 = 282.4",2024,VERIFICADO_AGREGADO,Ranking nacional por tasa: #10 de 32 (1 = mayor tasa)
E17-034,pagina-estado Morelos · KPI tasa,22.81,tasa violacion (simple+equiparada) por 100K hab 2025 · Morelos,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/poblacion_estatal_conapo.csv (CONAPO pry23 · conapo.segob.gob.mx),"panorama [sesnsp_2025_violacion] (469) / poblacion_2025 (2,056,103) × 100,000 = 22.81",2024,VERIFICADO_AGREGADO,Ranking nacional por tasa: #9 de 32 (1 = mayor tasa)
E18-001,pagina-estado Nayarit · KPI,"10,993",total carpetas SESNSP 2025 · Nayarit,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/delitos_estatales_2015-2025/Estatal-Delitos-2015-2025_abr2026.csv,"panorama_estatal_32.csv columna [sesnsp_2025_total] fila clave_ent=18. Derivado de groupby(Clave_Ent, Subtipo)['_total'].sum() sobre base estatal 2015-2025 · filtros exactos: ver script _construir_panorama_v3.py",2025-12 (corte abr-2026),VERIFICADO_AGREGADO,"0.55% del nacional (2,016,723 en 32 estados). Aparece en KPI de la página-estado."
